id,category,text
kb01,technique,"Salt your pasta water until it tastes like the sea; it seasons from the inside out."
kb02,technique,"Let meat rest after cooking so the juices settle back through it instead of running onto the plate."
kb03,technique,"Pat ingredients dry before searing; surface water steams instead of browning."
kb04,technique,"Taste as you go, because seasoning is a conversation, not a single decision."
kb05,technique,"Add a squeeze of acid like lemon or vinegar to wake up a dish that tastes flat."
kb06,technique,"Toast whole spices briefly in oil to unlock their aroma before adding any liquid."
kb07,technique,"Cut vegetables to the same size so they cook evenly and finish together."
kb08,technique,"Keep your knife sharp; a dull blade slips, crushes, and slows you down."
kb09,technique,"Bring eggs and butter to room temperature before baking for a smoother batter."
kb10,technique,"Deglaze the pan with a splash of liquid to capture the browned flavor stuck to the bottom."
kb11,flavor,"Fat carries flavor, so a little butter or good oil makes almost everything taste fuller."
kb12,flavor,"Balance the five basic tastes: salty, sweet, sour, bitter, and umami, and a dish starts to sing."
kb13,flavor,"A small pinch of sugar can tame an overly acidic tomato sauce."
kb14,flavor,"Stir fresh herbs in at the very end, but add dried herbs early so they have time to bloom."
kb15,flavor,"Umami from mushrooms, tomatoes, or parmesan adds a savory depth that makes food moreish."
kb16,hospitality,"The best seasoning is the feeling that someone made this meal just for you."
kb17,hospitality,"A shared table is a small, daily celebration."
kb18,hospitality,"Cooking for others is one of the quietest ways to say I care about you."
kb19,hospitality,"Feeding people well is how strangers slowly become friends."
kb20,hospitality,"Always make a little extra, because an unexpected guest is a gift and not a problem."
kb21,wisdom,"Read the whole recipe before you start so nothing surprises you halfway through."
kb22,wisdom,"Clean as you go and the finish line will feel much closer."
kb23,wisdom,"Mise en place, everything in its place, turns kitchen chaos into calm."
kb24,wisdom,"Mistakes in the kitchen are just recipes you have not named yet."
kb25,wisdom,"The simplest dish becomes extraordinary when it is made with care."
kb26,planning,"A warm meal can turn a hard day into something you can survive."
kb27,planning,"Cook once and eat twice: today's leftovers are tomorrow's head start."
kb28,planning,"Plan meals around what is in season for better flavor at a lower cost."
kb29,planning,"Keep a few pantry staples and you can always make something from almost nothing."
kb30,planning,"Comfort has a flavor, and it usually tastes like home."
